,Sequence of all items,Main Chapter heading,Chapter rank,Web chapter heading,Sequence of secondary chapters,Secondary chapter heading (too long to use),Simplified secondary chapter heading,Web subchapter heading,Species name,Species file name,Explore numbers in this file,Numbered sounds in file,Book page,Photo #1,Caption for Photo #1,Photo #2,Caption for Photo #2,Photo #3,Caption for photo #3,sound 1,sound 2 ,sound 3,sound 4,sound 5,sound 6,sound 7,sound 8,sound 9,sound 10,sound 11,sound 12,sound 13,sound 14,sound 15,sound 16,Unnamed: 35,Chapter rank.1,Chapter name, Subchapter rank, Subchapter heading,spedies_index,qr_url,group_name,family_name,species_index
181,182,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,82,Each species has its own song,Each species has its own song,Each species has its own song,Willow flycatcher,8.2_WiFl,,576-578,142,WiFl-RR-WillowFlycatcher,Photo by Robert Royse,,,,,576,577.0,578.0,,,,,,,,,,,,,,,,,,,182,http://BirdsongForTheCurious.com/SpeciesFile.php?page=182,Flycatchers,Tyrannidae,182
182,183,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,82,Each species has its own song,Each species has its own song,Each species has its own song,Warbling vireo,8.2_WaVi,,579-580,143,WaVi-BS-Warbling Vireo_D4_102176,Photo by Brian E. Small,,,,,579,580.0,,,,,,,,,,,,,,,,,,,,183,http://BirdsongForTheCurious.com/SpeciesFile.php?page=183,"Shrikes, vireos",Vireonidae,183
183,184,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,82,Each species has its own song,Each species has its own song,Each species has its own song,Bewick’s wren,8.2_BeWr,,581-585,144,BeWr-BS-1-Bewick's Wren_D4_28996,Photo by Brian E. Small,,,,,581,582.0,583.0,584.0,585.0,,,,,,,,,,,,,,,,,184,http://BirdsongForTheCurious.com/SpeciesFile.php?page=184,,,184
184,185,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,82,Each species has its own song,Each species has its own song,Each species has its own song,Sedge wren,8.2_SeWr,,586-589,144,SeWr-BS-Sedge Wren 02,Photo by Brian E. Small,,,,,586,587.0,588.0,589.0,,,,,,,,,,,,,,,,,,185,http://BirdsongForTheCurious.com/SpeciesFile.php?page=185,Wrens,Troglodytidae,185
185,186,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,82,Each species has its own song,Each species has its own song,Each species has its own song,Fox sparrow,8.2_FoSp,69,590-598,145,FoSp-RR-FoxSparrow-Sooty,Photo by Robert Royse,,,,,590,591.0,592.0,593.0,594.0,595.0,596.0,597.0,598.0,,,,,,,,,,,,,186,http://BirdsongForTheCurious.com/SpeciesFile.php?page=186,Sparrows,Passerellidae,186
186,187,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,83,"Song changes over evolutionary time, from species to species","Song changes over evolutionary time, from species to species",Song changes over evolutionary time,"Western tanager, scarlet tanager, summer tanager",8.3_WeTa,,599-605,147,WeTa-MR-WesternTanagerM_4787_Read,"Western tanager
Photo by Marie Read",ScTa-WH-Scarlet_tanager_male_C2FS4044_WH,"Scarlet tanager
Photo by Wil Hershberger",SuTa-MR-SummerTanagerMSing_0257R_Read,"Summer tanager
Photo by Marie Read",599,600.0,601.0,602.0,603.0,604.0,605.0,,,,,,,,,,,,,,,187,http://BirdsongForTheCurious.com/SpeciesFile.php?page=187,,,187
187,188,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,83,"Song changes over evolutionary time, from species to species","Song changes over evolutionary time, from species to species",Song changes over evolutionary time,"Western wood-pewee, eastern wood-pewee",8.3_EWPe,,606-611,148,WwPe-BS-Western Wood-Pewee_D4_43761,"Western wood-pewee
Photo by Brian E. Small",EwPe--bbj323b-ewpe-OH-06-05-12_2508-10x8,"Eastern wood-pewee
Photo by John Van de Graaff",,,606,607.0,608.0,609.0,610.0,611.0,,,,,,,,,,,,,,,,188,http://BirdsongForTheCurious.com/SpeciesFile.php?page=188,,,188
188,189,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,83,"Song changes over evolutionary time, from species to species","Song changes over evolutionary time, from species to species",Song changes over evolutionary time,"Western kingbird, eastern kingbird, Couich's kingbird",8.3_WeKi,,612-615,149,WeKi-BS-Western Kingbird 02,"Western kingbird
Photo by Brian E. Small",EaKi-RR-Ekingbird,"Eastern kingbird
Photo by Robert Royse",CoKi-BS-Couch's Kingbird 03,"Couch's kingbird
Photo by Brian E. Small",612,613.0,614.0,615.0,,,,,,,,,,,,,,,,,,189,http://BirdsongForTheCurious.com/SpeciesFile.php?page=189,,,189
189,190,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,83,"Song changes over evolutionary time, from species to species","Song changes over evolutionary time, from species to species",Song changes over evolutionary time,"Western meadowlark, eastern meadowlark",8.3_WeMe,70,616-629,150,WeMe-RR-Wmeadowlark,"Western meadowlark
Photo by Robert Royse",EaMe-RR-Emeadowlark,"Eastern meadowlark
Photo by Robert Royse",WeMe-BbJ-508a-weme-nice-perch_NM-08-11-16_0215 copy,Photo by John Van de Graaff,616,617.0,618.0,619.0,620.0,621.0,622.0,623.0,624.0,625.0,626.0,627.0,628.0,629.0,,,,,,,,190,http://BirdsongForTheCurious.com/SpeciesFile.php?page=190,,,190
190,191,8. How Songs Change over Space and Time,8,8. How Songs Change over Space and Time,83,"Song changes over evolutionary time, from species to species","Song changes over evolutionary time, from species to species",Song changes over evolutionary time,Empixonax flycatchers,8.3_Empidonax,71,630-639,151,AcFl-BS-Acadian Flycatcher_D4_96822,"Acadian flycatcher
Photo by Brian E. Small",PsFl-BS-Pacific-slope Flycatcher_B9H16095,"Pacific-slope flycatcher
Photo by Brian E. Small",YbFl-BS-Yellow-bellied Flycatcher 02,"Yellow-bellied flycatcher
Photo by Brian E. Small",630,631.0,632.0,633.0,634.0,635.0,636.0,637.0,638.0,639.0,,,,,,,,,,,,191,http://BirdsongForTheCurious.com/SpeciesFile.php?page=191,,,191
191,192,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,"A chorus of singers, at dawn",9.1_Chorus,,640,153,WiFl-BS-Willow Flycatcher_DX_63495,"Willow flycatcher
Photo by Brian E. Small",YeWa-RR-YellowWarbler,"Yellow warbler
Photo by Robert Royse",OrOr-WH-Orchard_oriole_male_WH_Orchard_oriole_male_singing_WIL9447-Edit-3,"Orchard oriole
Photo by Wil Hershberger",640,,,,,,,,,,,,,,,,,,,,,192,http://BirdsongForTheCurious.com/SpeciesFile.php?page=192,,,192
192,193,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Ritardando—canyon wren,9.1_CanWr,,641-642,154,CanWr-RR-CanyonWren,Photo by Robert Royse,,,,,641,642.0,,,,,,,,,,,,,,,,,,,,193,http://BirdsongForTheCurious.com/SpeciesFile.php?page=193,,,193
193,194,9. Music to Our Ears,9,9. Music to Our Ears,91,,,The music in birdsong,Accelerando—field sparrow,9.1_FiSp,,643,154,FiSp-WH-20030424_Field_sparrow_WH_MG-4,Photo by Wil Hershberger,,,,,643,,,,,,,,,,,,,,,,,,,,,194,http://BirdsongForTheCurious.com/SpeciesFile.php?page=194,,,194
194,195,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,"Pitch-shifting, retaining melody—black-capped chickadee",9.1_BcCh,72,644-646,155,BcCh-BS-2-Black-capped Chickadee_B9H4367,Photo by Brian E. Small,,,,,644,645.0,646.0,,,,,,,,,,,,,,,,,,,195,http://BirdsongForTheCurious.com/SpeciesFile.php?page=195,,,195
195,196,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Contrast—hermit thrush,9.1_HeTh,,647-648,156,HeTh--bbj409-heth-rt-close-hi-CPk-04-10-22_5252,Photo by John Van de Graaff,,,,,647,648.0,,,,,,,,,,,,,,,,,,,,196,http://BirdsongForTheCurious.com/SpeciesFile.php?page=196,,,196
196,197,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Crescendo—ovenbird ,9.1_Oven,,649,157,Oven-MR-OvenbirdSing_4570_Read,Photo by Marie Read,,,,,649,,,,,,,,,,,,,,,,,,,,,197,http://BirdsongForTheCurious.com/SpeciesFile.php?page=197,,,197
197,198,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Diminuendo—indigo bunting,9.1_InBu,,650,157,InBu--bbj468b-inbu-male-Quabbin_Noho-14-05-26_4196,Photo by John Van de Graaff,,,,,650,,,,,,,,,,,,,,,,,,,,,198,http://BirdsongForTheCurious.com/B47.php?page=198,,,198
198,199,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Theme and variations—brown thrasher,9.1_BrTh,73,651,158,BrTh-WH-Brown_thrasher_044992_WH,Photo by Wil Hershberger,,,,,651,,,,,,,,,,,,,,,,,,,,,199,http://BirdsongForTheCurious.com/SpeciesFile.php?page=199,,,199
199,200,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Improvising—sedge wren,9.1_SeWr,,652,159,SeWr-BS-Sedge Wren 04,Photo by Brian E. Small,,,,,652,,,,,,,,,,,,,,,,,,,,,200,http://BirdsongForTheCurious.com/SpeciesFile.php?page=200,,,200
200,201,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Dissonance—varied thrush,9.1_VaTh,,653-656,159,VaTh-BS-1-Varied Thrush_T0B102048,Photo by Brian E. Small,,,,,653,654.0,655.0,656.0,,,,,,,,,,,,,,,,,,201,http://BirdsongForTheCurious.com/SpeciesFile.php?page=201,,,201
201,202,9. Music to Our Ears,9,9. Music to Our Ears,91,The music in birdsong,The music in birdsong,The music in birdsong,Metronome—loggerhead shrike ,9.1_LoSh,74,657,160,LoSh-WH-20120404_Loggerhead_shrike_OK_WH_MG_3337,Photo by Wil Hershberger,,,,,657,,,,,,,,,,,,,,,,,,,,,202,http://BirdsongForTheCurious.com/SpeciesFile.php?page=202,,,202
202,203,9. Music to Our Ears,9,9. Music to Our Ears,92,More music to our ears,More music to our ears,More music to our ears,Purple finch,9.2_PuFi,,658,161,PuFi-WH-20110417_Purple_finch_WH_MG0497,"Male, 2nd year or older
Photo by Wil Hershberger",PuFi-WH-20110417_Purple_finch_WH_MG0660,"First-year male, or female
Photo by Wil Hershberger",,,658,,,,,,,,,,,,,,,,,,,,,203,http://BirdsongForTheCurious.com/SpeciesFile.php?page=203,"Finches, longspur",Fringillidae,203
203,204,9. Music to Our Ears,9,9. Music to Our Ears,92,More music to our ears,More music to our ears,More music to our ears,Swainson's thrush,9.2_SwTh,,659-660,161,SwTh-lw-SWTH_9091,Photo by Laure Wilson Neish,,,,,659,660.0,,,,,,,,,,,,,,,,,,,,204,http://BirdsongForTheCurious.com/SpeciesFile.php?page=204,Thrushes,Turdidae,204
204,205,9. Music to Our Ears,9,9. Music to Our Ears,92,More music to our ears,More music to our ears,More music to our ears,Gray-cheeked thrush,9.2_GcTh,,661-662,162,GcTh-RR-Gray-cheekedThrush2,Photo by Robert Royse,,,,,661,662.0,,,,,,,,,,,,,,,,,,,,205,http://BirdsongForTheCurious.com/SpeciesFile.php?page=205,Thrushes,Turdidae,205
205,206,9. Music to Our Ears,9,9. Music to Our Ears,92,More music to our ears,More music to our ears,More music to our ears,Scott's oriole,9.2_ScOr,,663-665,162,ScOr-BS-Scott's Oriole_T0B82514,Photo by Brian E. Small,,,,,663,664.0,665.0,,,,,,,,,,,,,,,,,,,206,http://BirdsongForTheCurious.com/SpeciesFile.php?page=206,,,206
206,207,9. Music to Our Ears,9,9. Music to Our Ears,92,More music to our ears,More music to our ears,More music to our ears,Red-faced warbler,9.2_RfWa,,666-667,162,RfWa-BS-Red-faced Warbler_B9H28048,Photo by Brian E. Small,,,,,666,667.0,,,,,,,,,,,,,,,,,,,,207,http://BirdsongForTheCurious.com/SpeciesFile.php?page=207,Warblers,Parulidae,207
207,208,9. Music to Our Ears,9,9. Music to Our Ears,92,More music to our ears,More music to our ears,More music to our ears,Upland sandpiper,9.2_UpSa,75,668-669,163,UpSa-WH-20130525_Upland_Sandpiper_WH_MG_2571,Photo by Wil Hershberger,,,,,668,669.0,,,,,,,,,,,,,,,,,,,,208,http://BirdsongForTheCurious.com/SpeciesFile.php?page=208,"Shorebirds, gulls",Scolopacidae,208
208,209,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Common loon,9.3_CoLo,,670-672,164,CoLo--bbj025a-colo-chk-bk-green-ME-05-07-26_5046,Photo by John Van de Graaff,,,,,670,671.0,672.0,,,,,,,,,,,,,,,,,,,209,http://BirdsongForTheCurious.com/SpeciesFile.php?page=209,"Loon, shearwater",Gaviidae,209
209,210,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Bell's vireo,9.3_BeVi,,673,164,BeVi-BS-Bell's Vireo_X2_14358,Photo by Brian E. Small,,,,,673,,,,,,,,,,,,,,,,,,,,,210,http://BirdsongForTheCurious.com/SpeciesFile.php?page=210,"Shrikes, vireos",Vireonidae,210
210,211,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Barn swallow,9.3_BaSw,,674-676,165,BaSw-BbJ-370-basw-rt-blu-ring-TX-03-04-27-0923,Photo by John Van de Graaff,,,,,674,675.0,676.0,,,,,,,,,,,,,,,,,,,211,http://BirdsongForTheCurious.com/SpeciesFile.php?page=211,"Larks, swallows",Hirundinidae,211
211,212,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Cliff swallow,9.3_ClSw,,677-679,166,ClSw-MR-CliffSwallow_0777_Read,Photo by Marie Read,,,,,677,678.0,679.0,,,,,,,,,,,,,,,,,,,212,http://BirdsongForTheCurious.com/SpeciesFile.php?page=212,"Larks, swallows",Hirundinidae,212
212,213,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Great-tailed grackle,9.3_GtGr,,680-681,166,GtGr-RR-Great-tailedGrackle2,Photo by Robert Royse,,,,,680,681.0,,,,,,,,,,,,,,,,,,,,213,http://BirdsongForTheCurious.com/SpeciesFile.php?page=213,Blackbirds,Icteridae,213
213,214,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Winter wren,9.3_WiWr,,682-684,166,WiWr-RR-WinterWren,Photo by Robert Royse,,,,,682,683.0,684.0,,,,,,,,,,,,,,,,,,,214,http://BirdsongForTheCurious.com/SpeciesFile.php?page=214,Wrens,Troglodytidae,214
214,215,9. Music to Our Ears,9,9. Music to Our Ears,93,Music to my ears—author's choice,Music to my ears—author's choice,Music to my ears—author's choice,Bewick’s wren,9.3_BeWr,"76, 77",685-686,167,BeWr-BS-2-Bewick's Wren_B9H18093,Photo by Brian E. Small,,,,,685,686.0,,,,,,,,,,,,,,,,,,,,215,http://BirdsongForTheCurious.com/SpeciesFile.php?page=215,,,215
215,216,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Eurasian blackbird,10_EuBl,,687,169,,,,,,,687,,,,,,,,,,,,,,,,,,,,,216,,Thrushes,Turdidae,216
216,217,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Red-breasted nuthatch,10_RbNu,,688-690,169,,,,,,,688,689.0,690.0,,,,,,,,,,,,,,,,,,,217,,"Bushtit, nuthatch",Sittidae,217
217,218,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Common grackle,10_CoGr,,691-693,169,,,,,,,691,692.0,693.0,,,,,,,,,,,,,,,,,,,218,,Blackbirds,Icteridae,218
218,219,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Black-crested titmouse,10_BcTi,,694,169,,,,,,,694,,,,,,,,,,,,,,,,,,,,,219,,"Chickadees, titmice",Paridae,219
219,220,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Blue grosbeak,10_BlGr,,695,169,,,,,,,695,,,,,,,,,,,,,,,,,,,,,220,,"Cardinals, tanagers, grosbeaks, buntings",Cardinalidae,220
220,221,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Golden-crowned kinglet,10_GcKi,,696,169,,,,,,,696,,,,,,,,,,,,,,,,,,,,,221,,"Kinglets, wrentit",Regulidae,221
221,222,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Golden-crowned sparrow,10_GcSp,,697,169,,,,,,,697,,,,,,,,,,,,,,,,,,,,,222,,Sparrows,Passerellidae,222
222,223,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Seaside sparrow,10_SeSp,,698-701,169,,,,,,,698,699.0,700.0,701.0,,,,,,,,,,,,,,,,,,223,,Sparrows,Passerellidae,223
223,224,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Olive sparrow,10_OlSp,,702,169,,,,,,,702,,,,,,,,,,,,,,,,,,,,,224,,Sparrows,Passerellidae,224
224,225,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Rufous-crowned sparrow,10_RcSp,,703-704,169,,,,,,,703,704.0,,,,,,,,,,,,,,,,,,,,225,,Sparrows,Passerellidae,225
225,226,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Blue-headed vireo,10_BhVi,,705,169,,,,,,,705,,,,,,,,,,,,,,,,,,,,,226,,"Shrikes, vireos",Vireonidae,226
226,227,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Black-capped vireo,10_BcVi,,706-709,169,,,,,,,706,707.0,708.0,709.0,,,,,,,,,,,,,,,,,,227,,"Shrikes, vireos",Vireonidae,227
227,228,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Plain chachalaca,10_PlCh,,710,169,,,,,,,710,,,,,,,,,,,,,,,,,,,,,228,,"Quail, chicken, grouse, turkey, chachalaca",Cracidae,228
228,229,10. Additional Information,10,10. More birds! More Sounds!,101,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Americas,Montezuma oropendola,10_MoOr,,711-712,169,,,,,,,711,712.0,,,,,,,,,,,,,,,,,,,,229,,Blackbirds,Icteridae,229
229,230,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Plumed whistling duck,10_PlWhDu,,713,170,,,,,,,713,,,,,,,,,,,,,,,,,,,,,230,,Australian specialities,Anatidae,230
230,231,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Tooth-billed bowerbird,10_TbBo,,714-718,170,,,,,,,714,715.0,716.0,717.0,718.0,,,,,,,,,,,,,,,,,231,,Australian specialities,Ptilonorhynchidae,231
231,232,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Green catbird,10_GrCa,,719,170,,,,,,,719,,,,,,,,,,,,,,,,,,,,,232,,Australian specialities,Ptilonorhynchidae,232
232,233,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Red-backed fairy-wren,10_RbFW,,720,170,,,,,,,720,,,,,,,,,,,,,,,,,,,,,233,,Australian specialities,Maluridae,233
233,234,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Bell miner,10_BeMi,,721,170,,,,,,,721,,,,,,,,,,,,,,,,,,,,,234,,Australian specialities,Meliphagidae,234
234,235,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Scarlet honeyeater,10_ScHo,,722,170,,,,,,,722,,,,,,,,,,,,,,,,,,,,,235,,Australian specialities,Meliphagidae,235
235,236,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Chowchilla,10_Chow,,723-724,170,,,,,,,723,724.0,,,,,,,,,,,,,,,,,,,,236,,Australian specialities,Orthonychidae,236
236,237,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Eastern whipbird,10_EaWh,,725-726,170,,,,,,,725,726.0,,,,,,,,,,,,,,,,,,,,237,,Australian specialities,Psophodidae,237
237,238,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Golden whistler,10_GoWh,,727-729,170,,,,,,,727,728.0,729.0,,,,,,,,,,,,,,,,,,,238,,Australian specialities,Pachycephalidae,238
238,239,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Rufous whistler,10_RuWh,,730,170,,,,,,,730,,,,,,,,,,,,,,,,,,,,,239,,Australian specialities,Pachycephalidae,239
239,240,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Rufous fantail,10_RuFa,,731,170,,,,,,,731,,,,,,,,,,,,,,,,,,,,,240,,Australian specialities,Rhipiduridae,240
240,241,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Willie wagtail,10_WiWa,,732,170,,,,,,,732,,,,,,,,,,,,,,,,,,,,,241,,Australian specialities,Rhipiduridae,241
241,242,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Forest raven,10_FoRa,,733,170,,,,,,,733,,,,,,,,,,,,,,,,,,,,,242,,Australian specialities,Corvidae,242
242,243,10. Additional Information,10,10. More birds! More Sounds!,102,More birds! More Sounds!,More birds! More Sounds!,More birds! More Sounds!--Australia,Tasmanian devil,10_TaDe,,734,170,,,,,,,734,,,,,,,,,,,,,,,,,,,,,243,,Australian specialities,Dasyuridae,243
